country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases
USA,"107,969,972",,"1,173,394",,"105,906,752",
India,"44,996,963",,"531,928",,"44,463,533",
France,"40,138,560",,"167,642",,"39,970,918",
Germany,"38,428,685",,"174,352",,"38,240,600",
Brazil,"37,758,545",,"705,170",,"36,249,161",
S. Korea,"34,179,800",,"35,687",,"33,701,683","+55,879"
Japan,"33,803,572",,"74,694",,N/A,N/A
Italy,"25,940,840",,"191,211",,"25,629,876",
UK,"24,671,491",,"228,707",,"24,428,140",+966
Russia,"22,986,528",,"399,972",,"22,439,760",
Turkey,"17,232,066",,"102,174",,N/A,N/A
Spain,"13,914,811",,"121,760",,"13,762,417",
Australia,"11,747,594",,"22,581",,"11,719,547",
Vietnam,"11,622,730",+33,"43,206",,"10,640,479",+2
Taiwan,"10,241,520",,"19,005",,"10,222,514",
Argentina,"10,061,739",,"130,568",,"9,930,223",+930
Netherlands,"8,610,372",,"22,992",,"8,587,380",
Mexico,"7,633,355",,"334,336",,"6,885,378",
Iran,"7,613,532",,"146,321",,"7,374,684",
Indonesia,"6,813,095",,"161,916",,"6,646,293",
Poland,"6,518,800",+5,"119,638",,"5,335,940",
Colombia,"6,378,000",,"142,961",,"6,190,683",
Greece,"6,101,379",,"37,089",,"6,064,290",
Austria,"6,081,287",,"22,542",,"6,054,934",
Portugal,"5,601,153",,"27,094",,"5,569,326",
Ukraine,"5,557,995",,"112,418",,"5,445,577",
Chile,"5,290,820",,"64,497",,"5,226,068",
Malaysia,"5,123,264",,"37,165",,"5,073,384",
Israel,"4,833,089",,"12,625",,"4,798,473",
Belgium,"4,805,710",,"34,376",,"4,768,120",
DPRK,"4,772,813",,74,,"4,772,739",
Thailand,"4,756,150",,"34,453",,"4,692,636",
Canada,"4,703,476",,"53,299",,"4,643,932",+273
Czechia,"4,644,010",+9,"42,815",,"4,600,712",+43
Peru,"4,518,506",,"221,645",,"4,296,533",
Switzerland,"4,409,089",,"14,452",,"4,393,116",
Philippines,"4,174,101",,"66,643",,"4,103,828",
South Africa,"4,076,463",,"102,595",,"3,912,506",
Romania,"3,413,851",,"68,266",,"3,342,637",
Denmark,"3,183,160",+22,"8,790",+1,"3,173,928",+1
Hong Kong,"2,917,331",,"13,819",,"2,901,249",
Sweden,"2,714,519",,"24,755",,"2,688,821",+33
Singapore,"2,549,083",,"1,875",,"2,149,583",
Serbia,"2,544,952",,"18,057",,"2,526,895",
Iraq,"2,465,545",,"25,375",,"2,439,497",
New Zealand,"2,450,818",,"4,701",,"2,443,623",
Hungary,"2,203,356",,"48,881",,"2,152,155",
Bangladesh,"2,045,159",,"29,476",,"1,998,448",
Slovakia,"1,866,983",+58,"21,167",,"1,845,690",
Georgia,"1,850,905",,"17,122",,"1,776,548",
Jordan,"1,746,997",,"14,122",,"1,731,007",
Ireland,"1,717,490",,"9,162",,"1,705,481",
Pakistan,"1,581,527",,"30,663",,"1,538,689",
Norway,"1,486,695",,"5,620",,"1,480,863",
Finland,"1,484,052",,"10,157",,"1,473,335",+29
Kazakhstan,"1,411,831",,"13,848",,"1,383,020",
Slovenia,"1,344,472",+6,"7,100",,"1,337,079",
Lithuania,"1,322,861",+7,"9,695",,"1,312,378",+47
Bulgaria,"1,310,550",,"38,448",,"1,270,456",
Morocco,"1,275,394",,"16,297",,"1,256,151",
Guatemala,"1,275,314",,"20,251",,"1,253,269",
Croatia,"1,274,281",,"18,292",,"1,255,780",
Costa Rica,"1,238,883",,"9,428",,"860,711",
Lebanon,"1,238,552",,"10,936",,"1,087,587",
Bolivia,"1,207,206",,"22,399",,"1,177,145",
Tunisia,"1,153,361",,"29,423",,N/A,N/A
Cuba,"1,115,111",,"8,530",,"1,106,516",
Ecuador,"1,069,114",,"36,042",,"1,033,072",
UAE,"1,067,030",,"2,349",,"1,054,525",
Panama,"1,047,690",,"8,657",,"1,038,881",
Uruguay,"1,038,774",,"7,634",,"1,030,944",
Mongolia,"1,010,975",,"2,179",,"1,008,792",
Nepal,"1,003,417",,"12,031",,"991,322",
Belarus,"994,037",,"7,118",,"985,592",
Latvia,"978,354",,"6,392",,"971,406",
Saudi Arabia,"841,469",,"9,646",,"827,923",
Azerbaijan,"832,071",,"10,295",,"821,747",
Paraguay,"813,440",,"20,005",,N/A,N/A
Bahrain,"725,931",,"1,570",,"724,015",
Sri Lanka,"672,577",,"16,882",,"655,682",
Dominican Republic,"667,048",,"4,384",,"644,785",
Kuwait,"666,081",,"2,570",,"660,237",
Cyprus,"660,854",,"1,364",,"659,490",
Myanmar,"641,167",,"19,495",,"619,922",
Palestine,"621,008",,"5,404",,"615,445",
Moldova,"620,927",,"12,126",,"504,142",
Estonia,"619,507",,"3,001",,"524,990",
Venezuela,"552,695",,"5,856",,"546,537",
Egypt,"516,023",,"24,613",,"442,182",
Qatar,"514,524",,690,,"513,687",
Libya,"507,266",,"6,437",,"500,829",
China,"503,302",,"5,272",,"379,053",
Ethiopia,"500,991",,"7,574",,"488,165",
Réunion,"486,588",,921,,"418,572",
Honduras,"473,547",,"11,161",,N/A,N/A
Armenia,"449,293",,"8,751",,"435,162",
Bosnia and Herzegovina,"403,061",,"16,352",,"379,084",
Oman,"399,449",,"4,628",,"384,669",
Zambia,"349,287",,"4,069",,"341,316",
North Macedonia,"348,374",,"9,677",,"337,068",
Kenya,"343,918",,"5,689",,"337,309",
Albania,"334,726",,"3,602",,"329,428",
Botswana,"330,229",,"2,801",,"327,049",
Luxembourg,"319,959",,"1,232",,"316,690",
Brunei,"310,379",,225,,"243,601",
Montenegro,"292,237",,"2,828",,"288,824",
Algeria,"271,852",,"6,881",,"183,061",
Nigeria,"266,675",,"3,155",,"259,953",
Zimbabwe,"265,716",,"5,713",,"258,888",
Uzbekistan,"253,662",,"1,637",,"241,486",
Mozambique,"233,417",,"2,243",,"228,805",
Martinique,"230,354",,"1,102",,N/A,N/A
Afghanistan,"225,152",+74,"7,942",,"205,551",+73
Laos,"218,805",,758,,N/A,N/A
Iceland,"209,191",,229,,N/A,N/A
Kyrgyzstan,"206,897",,"2,991",,"196,406",
Guadeloupe,"203,235",,"1,021",,N/A,N/A
El Salvador,"201,785",,"4,230",,"179,410",
Trinidad and Tobago,"191,496",,"4,390",,"187,078",
Maldives,"186,687",,316,,"163,687",
Namibia,"171,998",,"4,098",,"167,099",
Ghana,"171,740",,"1,462",,"170,255",
Uganda,"171,729",,"3,632",,"100,431",
Jamaica,"155,860",,"3,596",,"103,032",
Cambodia,"138,940",,"3,056",,"135,884",
Rwanda,"133,194",,"1,468",,"131,647",
Cameroon,"125,090",,"1,974",,"122,807",
Malta,"119,875",,857,,"118,310",
Barbados,"109,503",,620,,"108,647",
Angola,"105,384",,"1,934",,"103,419",
Channel Islands,"101,717",,228,,"101,321",
French Guiana,"98,041",,420,,"11,254",
DRC,"97,697",,"1,468",,"84,489",
Senegal,"89,014",,"1,971",,"87,024",
Malawi,"88,835",,"2,686",,"85,651",
Ivory Coast,"88,338",,835,,"87,497",
Suriname,"82,588",,"1,408",,N/A,N/A
New Caledonia,"79,922",,314,,"79,605",
French Polynesia,"78,621",,649,,N/A,N/A
Eswatini,"74,882",,"1,427",,"73,116",
Guyana,"73,385",,"1,299",,"72,013",
Belize,"70,782",,688,,"70,085",
Fiji,"69,117",,885,,"67,226",
Madagascar,"68,289",,"1,425",,"66,862",
Cabo Verde,"64,238",,415,,"63,755",
Sudan,"63,993",,"5,046",,"58,947",
Mauritania,"63,715",,997,,"62,471",
Bhutan,"62,694",,21,,"61,564",
Syria,"57,743",,"3,165",,"54,578",
Burundi,"54,239",,38,,"53,569",
Seychelles,"50,937",,172,,"50,750",
Gabon,"48,992",,307,,"48,674",
Andorra,"48,015",,165,,"47,563",
Papua New Guinea,"46,864",,670,,"43,982",
Curaçao,"45,986",,295,,"44,720",
Aruba,"44,224",,292,,"42,438",
Tanzania,"43,078",,846,,N/A,N/A
Mauritius,"42,848",,"1,051",,"41,117",
Mayotte,"42,027",,188,,N/A,N/A
Togo,"39,513",,290,,"39,216",
Guinea,"38,563",,468,,"37,757",
Bahamas,"38,084",,844,,"36,366",
Isle of Man,"38,008",,116,,N/A,N/A
Lesotho,"34,790",,723,,"25,980",
Faeroe Islands,"34,658",,28,,N/A,N/A
Haiti,"34,306",,860,,"33,372",
Mali,"33,151",,743,,"32,332",
Cayman Islands,"31,472",,37,,"8,553",
Saint Lucia,"30,052",,409,,"29,095",
Benin,"28,014",,163,,"27,847",
Somalia,"27,334",,"1,361",,"13,182",
