country,totalCases,totalDeaths,totalRecovered,percentDeaths,percentRecovered,rankPercentRecovered,rankPercentDeaths
USA,107969972.0,1173394.0,105906752.0,1.09,98.09,108,99
India,44996963.0,531928.0,44463533.0,1.18,98.81,75,91
France,40138560.0,167642.0,39970918.0,0.42,99.58,22,175
Germany,38428685.0,174352.0,38240600.0,0.45,99.51,24,171
Brazil,37758545.0,705170.0,36249161.0,1.87,96.0,154,52
S. Korea,34179800.0,35687.0,33701683.0,0.1,98.6,89,215
Japan,33803572.0,74694.0,,0.22,-1.0,-1,195
Italy,25940840.0,191211.0,25629876.0,0.74,98.8,76,130
UK,24671491.0,228707.0,24428140.0,0.93,99.01,64,111
Russia,22986528.0,399972.0,22439760.0,1.74,97.62,126,61
Turkey,17232066.0,102174.0,,0.59,-1.0,-1,153
Spain,13914811.0,121760.0,13762417.0,0.88,98.9,69,115
Australia,11747594.0,22581.0,11719547.0,0.19,99.76,10,201
Vietnam,11622730.0,43206.0,10640479.0,0.37,91.55,171,181
Taiwan,10241520.0,19005.0,10222514.0,0.19,99.81,6,201
Argentina,10061739.0,130568.0,9930223.0,1.3,98.69,84,78
Netherlands,8610372.0,22992.0,8587380.0,0.27,99.73,12,191
Mexico,7633355.0,334336.0,6885378.0,4.38,90.2,173,9
Iran,7613532.0,146321.0,7374684.0,1.92,96.86,142,50
Indonesia,6813095.0,161916.0,6646293.0,2.38,97.55,127,28
Poland,6518800.0,119638.0,5335940.0,1.84,81.85,185,54
Colombia,6378000.0,142961.0,6190683.0,2.24,97.06,140,33
Greece,6101379.0,37089.0,6064290.0,0.61,99.39,32,152
Austria,6081287.0,22542.0,6054934.0,0.37,99.57,23,181
Portugal,5601153.0,27094.0,5569326.0,0.48,99.43,29,165
Ukraine,5557995.0,112418.0,5445577.0,2.02,97.98,113,44
Chile,5290820.0,64497.0,5226068.0,1.22,98.78,78,84
Malaysia,5123264.0,37165.0,5073384.0,0.73,99.03,62,132
Israel,4833089.0,12625.0,4798473.0,0.26,99.28,38,192
Belgium,4805710.0,34376.0,4768120.0,0.72,99.22,45,137
DPRK,4772813.0,74.0,4772739.0,0.0,100.0,1,226
Thailand,4756150.0,34453.0,4692636.0,0.72,98.66,87,137
Canada,4703476.0,53299.0,4643932.0,1.13,98.73,81,96
Czechia,4644010.0,42815.0,4600712.0,0.92,99.07,56,113
Peru,4518506.0,221645.0,4296533.0,4.91,95.09,161,7
Switzerland,4409089.0,14452.0,4393116.0,0.33,99.64,16,186
Philippines,4174101.0,66643.0,4103828.0,1.6,98.32,97,65
South Africa,4076463.0,102595.0,3912506.0,2.52,95.98,155,22
Romania,3413851.0,68266.0,3342637.0,2.0,97.91,115,45
Denmark,3183160.0,8790.0,3173928.0,0.28,99.71,14,190
Hong Kong,2917331.0,13819.0,2901249.0,0.47,99.45,25,168
Sweden,2714519.0,24755.0,2688821.0,0.91,99.05,59,114
Singapore,2549083.0,1875.0,2149583.0,0.07,84.33,184,218
Serbia,2544952.0,18057.0,2526895.0,0.71,99.29,36,140
Iraq,2465545.0,25375.0,2439497.0,1.03,98.94,67,104
New Zealand,2450818.0,4701.0,2443623.0,0.19,99.71,14,201
Hungary,2203356.0,48881.0,2152155.0,2.22,97.68,124,35
Bangladesh,2045159.0,29476.0,1998448.0,1.44,97.72,121,74
Slovakia,1866983.0,21167.0,1845690.0,1.13,98.86,71,96
Georgia,1850905.0,17122.0,1776548.0,0.93,95.98,155,111
Jordan,1746997.0,14122.0,1731007.0,0.81,99.08,55,126
Ireland,1717490.0,9162.0,1705481.0,0.53,99.3,35,160
Pakistan,1581527.0,30663.0,1538689.0,1.94,97.29,134,49
Norway,1486695.0,5620.0,1480863.0,0.38,99.61,19,180
Finland,1484052.0,10157.0,1473335.0,0.68,99.28,38,143
Kazakhstan,1411831.0,13848.0,1383020.0,0.98,97.96,114,106
Slovenia,1344472.0,7100.0,1337079.0,0.53,99.45,25,160
Lithuania,1322861.0,9695.0,1312378.0,0.73,99.21,47,132
Bulgaria,1310550.0,38448.0,1270456.0,2.93,96.94,141,18
Morocco,1275394.0,16297.0,1256151.0,1.28,98.49,92,80
Guatemala,1275314.0,20251.0,1253269.0,1.59,98.27,100,67
Croatia,1274281.0,18292.0,1255780.0,1.44,98.55,91,74
Costa Rica,1238883.0,9428.0,860711.0,0.76,69.47,194,127
Lebanon,1238552.0,10936.0,1087587.0,0.88,87.81,178,115
Bolivia,1207206.0,22399.0,1177145.0,1.86,97.51,129,53
Tunisia,1153361.0,29423.0,,2.55,-1.0,-1,20
Cuba,1115111.0,8530.0,1106516.0,0.76,99.23,44,127
Ecuador,1069114.0,36042.0,1033072.0,3.37,96.63,149,13
UAE,1067030.0,2349.0,1054525.0,0.22,98.83,73,195
Panama,1047690.0,8657.0,1038881.0,0.83,99.16,49,122
Uruguay,1038774.0,7634.0,1030944.0,0.73,99.25,41,132
Mongolia,1010975.0,2179.0,1008792.0,0.22,99.78,8,195
Nepal,1003417.0,12031.0,991322.0,1.2,98.79,77,89
Belarus,994037.0,7118.0,985592.0,0.72,99.15,50,137
Latvia,978354.0,6392.0,971406.0,0.65,99.29,36,146
Saudi Arabia,841469.0,9646.0,827923.0,1.15,98.39,95,95
Azerbaijan,832071.0,10295.0,821747.0,1.24,98.76,79,83
Paraguay,813440.0,20005.0,,2.46,-1.0,-1,26
Bahrain,725931.0,1570.0,724015.0,0.22,99.74,11,195
Sri Lanka,672577.0,16882.0,655682.0,2.51,97.49,130,24
Dominican Republic,667048.0,4384.0,644785.0,0.66,96.66,148,144
Kuwait,666081.0,2570.0,660237.0,0.39,99.12,53,177
Cyprus,660854.0,1364.0,659490.0,0.21,99.79,7,200
Myanmar,641167.0,19495.0,619922.0,3.04,96.69,147,15
